name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
Ecole primaire Masumo,-0.0319035,29.1442662,,School,DRC_All_SCHool_Local,8.010190939290075,at-risk
Ecole primaire Kasiyiro,0.095526,28.975012,,School,DRC_All_SCHool_Local,0.6480554955106766,at-risk
Ecole primaire Ceca20 Matuna,0.0576893,28.9061133,,School,DRC_All_SCHool_Local,5.813998178708317,at-risk
Ecole secondaire Matolu,-0.369235,29.345057,,School,DRC_All_SCHool_Local,5.018137412572356,at-risk
École primaire Kasiyiro,0.012895,29.013831,,School,DRC_All_SCHool_Local,6.097813642934479,at-risk
École primaire Ndeko,0.074447,29.124266,,School,DRC_All_SCHool_Local,2.2163546670835066,at-risk
Ecole primaire Itunduliro,-0.029139,29.390294,,School,DRC_All_SCHool_Local,3.697259631871723,at-risk
Ecole primaire Bukembe,-0.014768,29.420701,,School,DRC_All_SCHool_Local,1.5250932970844007,at-risk
Ecole primaire Kavisegho,-0.278399,29.299314,,School,DRC_All_SCHool_Local,4.134687591949324,at-risk
Ecole primaire Vayana,-0.0157634,29.4191386,,School,DRC_All_SCHool_Local,1.516787136003327,at-risk
École Primaire Bughumirya,0.040709,29.316429,,School,DRC_All_SCHool_Local,2.9732643726510166,at-risk
Ecole primaire Sana,0.066668,29.096996,,School,DRC_All_SCHool_Local,1.547461285137635,at-risk
Ecole primaire Mwangaza,0.028692,29.103747,,School,DRC_All_SCHool_Local,0.8169608730469412,at-risk
École primaire Vulimira,0.033155,29.287761,,School,DRC_All_SCHool_Local,2.3455507277557484,at-risk
École primaire Vulimira,-0.002667,29.523514,,School,DRC_All_SCHool_Local,2.0877609064759874,at-risk
École primaire Kirungu,0.025472,29.363266,,School,DRC_All_SCHool_Local,2.847170655893777,at-risk
Ecole primaire Yakanyama,-6.1263056,24.5326389,,School,DRC_All_SCHool_Local,5.506940736994754,at-risk
Ecole primaire Kintukimune,-6.1301111,24.4907778,,School,DRC_All_SCHool_Local,0.8976765993484832,at-risk
Ecole primaire Kalambayi,-6.1348333,24.4884167,,School,DRC_All_SCHool_Local,0.5862811545180666,at-risk
École primaire Shimatayi,-6.1416667,24.4762222,,School,DRC_All_SCHool_Local,1.2152137993145913,at-risk
École primaire Tuendeyi,-6.1493889,24.4661389,,School,DRC_All_SCHool_Local,2.6078598026338176,at-risk
Ecole primaire Lukubama,-6.1416667,24.4896944,,School,DRC_All_SCHool_Local,1.1633316714732798,at-risk
École primaire Nambutwile,-6.1301111,24.4902222,,School,DRC_All_SCHool_Local,0.8417111929361547,at-risk
École primaire Shimatayi,-6.1180999,24.512553,,School,DRC_All_SCHool_Local,3.6476907650499233,at-risk
Ecole primaire Kintukimune,-6.1065439,24.5271086,,School,DRC_All_SCHool_Local,5.683114775789343,at-risk
École primaire Kalambayi,-6.1112663,24.5247475,,School,DRC_All_SCHool_Local,5.19482779329763,at-risk
Ecole primaire Nambutwile,-6.1065439,24.526553,,School,DRC_All_SCHool_Local,5.630893359732792,at-risk
Ecole primaire Tuendeyi,-6.1258225,24.5024697,,School,DRC_All_SCHool_Local,2.2745969357221063,at-risk
Ecole primaire Lukubama,-6.1180999,24.5260253,,School,DRC_All_SCHool_Local,5.014786781409642,at-risk
École primaire Diyeba,-5.8386111,22.6655,,School,DRC_All_SCHool_Local,6.900327427625817,at-risk
