name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Ecole Primaire Lumiere,-1.6470183,29.19923,at-risk,3.44,Battle,2024-01-01,7149760775
Institut Bethanie,-1.6453904,29.2024247,at-risk,3.36,Battle,2024-01-01,7149760776
École Chance Elysee,-1.6462062,29.2020982,at-risk,3.31,Battle,2024-01-01,7149760777
Complexe Scolaire Taji/Dankier,-1.648384,29.2017901,at-risk,3.14,Battle,2024-01-01,7149760778
Complexe Scolaire Soleil Levant,-1.6446817,29.204599,at-risk,3.29,Battle,2024-01-01,7149760779
Complexe Scolaire NZIYI,-1.6381178,29.24024,at-risk,4.2,Battle,2024-01-01,7149766045
Complexe Scolaire la Reference,-1.6670862,29.2119063,at-risk,0.96,Battle,2024-01-01,7149766046
La conscience,-4.381317,15.372942,at-risk,9.76,Strategic development,2024-01-03,7211573152
Complexe Scolaire Étoile,-2.4979997,28.8865352,at-risk,4.06,Violence against civilians,2024-01-02,7292354785
Complexe Scolaire Espoir,-2.4939217,28.8886799,at-risk,4.35,Violence against civilians,2024-01-02,7302102385
Groupe Scolaire Gardienat,-2.5055617,28.8590894,at-risk,1.18,Violence against civilians,2024-01-02,7335621786
Complexe Scolaire Saint Michel,-2.505119,28.8587121,at-risk,1.12,Violence against civilians,2024-01-02,7335626585
Complexe Scolaire Elite,-2.5058838,28.8687166,at-risk,2.18,Violence against civilians,2024-01-02,7387310580
Complexe Scolaire Elo Nyamugo,-2.5185928,28.8532641,at-risk,2.1,Violence against civilians,2024-01-02,7387310581
Complexe Scolaire Dane,-2.5137934,28.8401478,at-risk,1.88,Violence against civilians,2024-01-02,7387310582
Complexe Scolaire Confiance,-2.5353457,28.8568944,at-risk,4.0,Violence against civilians,2024-01-02,7387310583
Complexe Scolaire Cross Style,-1.661657,29.2299712,at-risk,1.45,Battle,2024-01-01,7387310584
Complexe Scolaire Chem Chem,-2.5525811,28.8716185,at-risk,6.32,Violence against civilians,2024-01-02,7387324585
Complexe Scolaire Children'S Voice,-1.6627132,29.2304799,at-risk,1.42,Battle,2024-01-01,7387324586
Complexe Scolaire Cebya,-2.5097334,28.8580862,at-risk,1.41,Violence against civilians,2024-01-02,7387324587
